full_name,bazi_score,wuge_score,total_score
王悦砾,98,91.3,189.3
王悦奔,76,86.7,162.7
王悦娱,63,86.7,149.7
王悦朔,63,86.7,149.7
王悦铁,95,85.8,180.8
王悦留,63,86.7,149.7
王悦每,77,84.0,161.0
王悦姵,23,93.0,116.0
王悦蝈,62,87.2,149.2
王悦淑,79,83.7,162.7
王悦彧,98,86.7,184.7
王悦蕙,61,79.8,140.8
王悦芬,63,86.7,149.7
王悦竞,61,81.2,142.2
王悦丞,94,86.9,180.9
王悦舟,94,86.9,180.9
王悦纂,63,91.3,154.3
王悦草,64,83.7,147.7
王悦巍,98,85.8,183.8
王悦絮,96,83.7,179.7
王悦竹,62,86.9,148.9
王悦恨,78,86.7,164.7
王悦通,61.5,85.6,147.1
王悦铬,93.5,85.6,179.1
王悦儀,23,93.0,116.0
王悦子,79,89.2,168.2
王悦祥,95,70.6,165.6
王悦引,96.5,83.6,180.1
王悦舜,96,83.7,179.7
王悦瑛,96.5,85.6,182.1
王悦盼,76,86.7,162.7
王悦适,61,79.8,140.8
王悦殿,64,81.2,145.2
王悦妶,23,93.0,116.0
王悦靜,23,93.0,116.0
王悦恺,61.5,85.6,147.1
王悦捷,96,83.7,179.7
王悦匡,62,86.9,148.9
王悦无,79,83.7,162.7
王悦昊,61,80.8,141.8
王悦诺,62,91.1,153.1
王悦帙,61,80.8,141.8
王悦黛,62,87.2,149.2
王悦斐,79,83.7,162.7
王悦姳,23,93.0,116.0
王悦璐,62,87.2,149.2
王悦沐,76,80.8,156.8
王悦孺,94,87.2,181.2
王悦譞,23,93.0,116.0
王悦翎,63,70.6,133.6
王悦苇,61.5,77.3,138.8
王悦曼,78,70.6,148.6
王悦苗,78,70.6,148.6
王悦巧,61.5,83.4,144.9
王悦运,97,91.1,188.1
王悦妆,94,84.0,178.0
王悦兆,62,86.9,148.9
王悦迷,79,81.2,160.2
王悦励,62,87.2,149.2
王悦骄,64,90.0,154.0
王悦宗,93,80.8,173.8
王悦烛,62,87.2,149.2
王悦姜,61,81.2,142.2
王悦吓,62,87.2,149.2
王悦攸,97,84.0,181.0
王悦佼,61,80.8,141.8
王悦苑,63,70.6,133.6
王悦霄,76.5,77.3,153.8
王悦幻,76.5,83.6,160.1
王悦筠,64,81.2,145.2
王悦遂,62,91.1,153.1
王悦绚,96,83.7,179.7
王悦温,96.5,85.6,182.1
王悦送,96,81.2,177.2
王悦钥,93.5,79.8,173.3
王悦申,93.5,83.4,176.9
王悦颇,76.5,85.6,162.1
王悦我,62,84.0,146.0
王悦梨,63,70.6,133.6
王悦营,62,87.2,149.2
王悦煤,64,81.2,145.2
王悦晨,95,70.6,165.6
王悦卉,61.5,83.4,144.9
王悦勒,63,70.6,133.6
王悦檬,61,79.8,140.8
王悦陵,62,91.1,153.1
王悦攫,61.5,87.0,148.5
王悦筱,64,81.2,145.2
王悦谦,62,87.2,149.2
王悦尔,61.5,85.6,147.1
王悦杰,64,83.7,147.7
王悦丽,61,81.2,142.2
王悦尤,96.5,83.6,180.1
王悦盖,62,91.1,153.1
王悦鹭,64,86.6,150.6
王悦樾,62,91.1,153.1
王悦汶,76,80.8,156.8
王悦夕,96,89.2,185.2
王悦典,61,80.8,141.8
王悦栗,63,86.7,149.7
王悦婵,93.5,77.3,170.8
王悦楔,64,81.2,145.2
王悦不,76.5,83.6,160.1
王悦纤,96,86.6,182.6
王悦滟,79,90.9,169.9
王悦科,61,86.7,147.7
王悦旸,64,81.2,145.2
王悦铌,96,81.2,177.2
王悦吟,62,84.0,146.0
王悦群,64,81.2,145.2
王悦沂,76,80.8,156.8
王悦孜,94,84.0,178.0
王悦昭,61,86.7,147.7
王悦艮,97,86.9,183.9
王悦铭,93.5,85.6,179.1
王悦芋,61,86.7,147.7
王悦炅,61,80.8,141.8
王悦幽,96,86.7,182.7
王悦裴,61.5,85.6,147.1
王悦缀,61.5,85.6,147.1
王悦舫,78,86.7,164.7
王悦篮,63,91.3,154.3
王悦援,99,81.2,180.2
王悦翊,63,70.6,133.6
王悦发,79,83.7,162.7
王悦淳,79,83.7,162.7
王悦野,98,70.6,168.6
王悦荻,64,81.2,145.2
王悦冕,78,70.6,148.6
王悦帮,77,87.2,164.2
王悦获,61,79.8,140.8
王悦妍,77,84.0,161.0
王悦铂,96,81.2,177.2
王悦其,61,80.8,141.8
王悦亚,96,80.8,176.8
王悦硼,99,81.2,180.2
王悦承,93,80.8,173.8
王悦的,61,80.8,141.8
王悦元,61.5,83.6,145.1
王悦瑞,93.5,85.6,179.1
王悦旎,63,70.6,133.6
王悦幢,93.5,77.3,170.8
王悦尹,96.5,83.6,180.1
王悦莹,61.5,77.3,138.8
王悦律,61,86.7,147.7
王悦跃,98,85.8,183.8
王悦虞,64,81.2,145.2
王悦趁,64,83.7,147.7
王悦园,99,81.2,180.2
王悦女,64,89.2,153.2
王悦佐,94,84.0,178.0
王悦尚,93,80.8,173.8
王悦玹,23,93.0,116.0
王悦章,63,70.6,133.6
王悦诗,96,81.2,177.2
王悦琦,64,81.2,145.2
王悦材,62,84.0,146.0
王悦峪,63,86.7,149.7
王悦吉,62,86.9,148.9
王悦秋,93,86.7,179.7
王悦薏,61,81.2,142.2
王悦隽,64,81.2,145.2
王悦茵,64,83.7,147.7
王悦易,61,80.8,141.8
王悦梓,63,70.6,133.6
王悦朦,76,79.8,155.8
王悦玥,96,86.7,182.7
王悦贺,79,83.7,162.7
王悦陈,62,91.1,153.1
王悦甄,93.5,85.6,179.1
王悦灿,62,87.2,149.2
王悦玩,61,86.7,147.7
王悦婭,23,93.0,116.0
王悦挚,93.5,77.3,170.8
王悦捉,63,70.6,133.6
王悦桓,63,86.7,149.7
王悦尉,98,70.6,168.6
王悦箬,61.5,77.3,138.8
王悦好,77,86.9,163.9
王悦祝,63,86.7,149.7
王悦棠,64,83.7,147.7
王悦阁,76.5,85.6,162.1
王悦雷,79,81.2,160.2
王悦宪,77,91.1,168.1
王悦之,61.5,83.6,145.1
王悦簧,61,79.8,140.8
王悦抒,93,80.8,173.8
王悦莲,62,87.2,149.2
王悦今,61.5,83.6,145.1
王悦恒,78,86.7,164.7
王悦瓤,79,90.0,169.0
王悦喆,23,93.0,116.0
王悦株,63,86.7,149.7
王悦田,61.5,83.4,144.9
王悦令,61.5,83.4,144.9
王悦民,76.5,83.4,159.9
王悦嬋,23,93.0,116.0
王悦馥,76,79.8,155.8
王悦任,94,86.9,180.9
王悦於,96,80.8,176.8
王悦豔,23,93.0,116.0
王悦賢,23,93.0,116.0
王悦砚,99,83.7,182.7
王悦菠,76.5,85.6,162.1
王悦羲,94,87.2,181.2
王悦怡,96,86.7,182.7
王悦偲,95,70.6,165.6
王悦四,93.5,83.4,176.9
王悦于,99,89.2,188.2
王悦栩,63,86.7,149.7
王悦始,93,80.8,173.8
王悦涟,76.5,77.3,153.8
